Latitude,Longitude,Instrument,UTC date,UTC time,Sun elevation,Sun azimuth,Sirius elevation,Rigel elevation,Betelgeuse elevation,Procyon elevation,Capella elevation,Arcturus elevation,Spica elevation,Vega elevation,Deneb elevation,Antares elevation,Altair elevation,Aldebaran elevation,Local sidereal time,Local apparent solar time,Local mean time,Moon elevation,Moon right ascension,Moon phase,Venus elevation,Venus right ascension,Venus phase,Mars elevation,Mars right ascension,Jupiter elevation,Jupiter right ascension,Saturn elevation,Saturn right ascension
39,-77,01/13/19,01/31/19,23:58,,,18,37,45,25,71,,,,,,,,03:37,18:50,19:02,,,,,,,46,01:20,,,,
39,-77,01/13/19,02/01/19,01:39,,,28,42,58,44,83,,,,,,,,08:50,23:32,23:42,,,,,,,29,01:20,,,,
39,-77,01/13/19,02/02/19,13:50,14,125,,,,,,,,,,,,,17:20,08:15,08:30,,,,,,,,,,,,
39,-77,01/13/19,02/02/19,15:45,30,155,,,,,,,,,,,,,19:30,10:30,10:44,,,,,,,,,,,,
39,-77,01/13/19,02/02/19,20:08,23,220,,,,,,,,,,,,,23:50,14:50,15:04,,,,,,,,,,,,
39,-77,01/13/19,02/02/19,23:52,,,19,38,45,27,71,,,,,,,,03:40,18:40,18:54,,,,,,,48,01:20,,,,
39,-77,01/13/19,02/03/19,04:06,,,33,30,50,56,62,,,,,,,,07:40,22:35,22:49,,,,,,,,,,,,
39,-77,01/13/19,02/03/19,15:50,29,148,,,,,,,,,,,,,19:25,10:15,10:29,,,,,,,,,,,,
39,-77,01/13/19,02/04/19,03:25,,,33,36,54,56,68,,,,,,,,07:12,22:00,22:14,,,,,,,,,,,,
39,-77,01/13/19,02/04/19,14:26,20,132,,,,,,,,,,,,,18:15,08:50,09:04,,,,,,,,,,,,
39,-77,01/13/19,02/04/19,16:37,35,170,,,,,,,,,,,,,20:40,11:30,11:44,,,,,,,,,,,,
39,-77,01/13/19,02/04/19,22:05,4,245,,,,,,,,,,,,,02:05,16:52,17:06,,,,,,,,,,,,
39,-77,01/13/19,02/04/19,23:37,,,18,37,45,26,71,,,,,,,,03:40,18:35,18:49,,,,,,,48,01:25,,,,
39,-77,01/13/19,02/05/19,01:47,,,32,43,59,48,81,,,,,,,,06:00,20:45,20:59,,,,,,,26,01:30,,,,
39,-77,01/13/19,02/05/19,13:00,10,120,,,,,,,,,,,,,17:05,07:50,08:04,,,,,,,,,,,,
39,-77,01/13/19,02/06/19,01:35,,,30,43,58,44,81,,,,,,,,05:30,20:20,20:34,,,,,,,28,01:30,,,,
39,-77,01/13/19,02/06/19,14:18,20,130,,,,,,,,,,,,,18:12,08:55,09:09,,,,,,,,,,,,
39,-77,01/13/19,02/08/19,17:42,37,185,,,,,,,,,,,,,21:50,12:20,12:37,,,,,,,,,,,,
39,-77,01/13/19,02/10/19,04:35,,,30,20,42,51,54,,,,,,,,08:40,23:05,23:19,,,,,,,,,,,,
39,-77,01/13/19,02/13/19,12:54,8,114,,,,,,,,,,,,,17:15,07:25,07:39,,,,,,,,,,,,
39,-77,01/13/19,02/13/19,16:06,34,158,,,,,,,,,,,,,20:35,10:45,10:59,,,,,,,,,,,,
39,-77,01/13/19,02/13/19,23:44,,,23,40,50,31,76,,,,,,,,04:20,18:30,18:44,67,05:20,Wax55,,,,45,01:50,,,,
39,-77,01/13/19,02/14/19,03:03,,,33,32,50,55,63,,,,,,,,07:40,21:50,22:04,45,04:30,Wax55,,,,,,,,,
39,-77,01/13/19,02/14/19,11:55,0,105,,,,,,,,,,,,,16:30,06:40,06:54,,,,,,,,,,,,
30,-90,01/13/2019-paper,02/14/19,12:45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-77,01/13/19,02/14/19,12:51,8,115,,,,,,,,,,,,,17:12,07:35,07:49,,,,,,,,,,,,
39,-77,01/13/19,02/15/19,00:08,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,
39,-77,01/13/19,02/15/19,15:23,31,145,,,,,,,,,,,,,20:00,10:05,10:19,,,,,,,,,,,,
39,-77,01/13/19,02/16/19,16:10,36,162,,,,,,,,,,,,,20:50,11:00,11:14,,,,,,,,,,,,
39,-77,01/13/19,02/16/19,18:02,39,192,,,,,,,,,,,,,22:25,12:30,12:44,,,,,,,,,,,,
39,-77,01/13/19,02/16/19,19:56,28,222,,,,,,,,,,,,,00:20,14:35,14:49,,,,,,,,,,,,
39,-77,01/13/19,02/16/19,20:40,20,235,,,,,,,,,,,,,01:30,15:30,15:41,13,07:30,Wax80,,,,,,,,,
39,-77,01/13/19,02/17/19,00:55,,,33,43,58,46,83,,,,,,,,05:40,19:40,19:54,60,07:30,Wax80,,,,35,02:00,,,,
39,-77,01/13/19,02/17/19,02:12,,,35,39,56,56,70,,,,,,,,07:00,21:00,21:14,70,07:20,Wax80,,,,20,02:00,,,,
39,-77,01/13/19,02/19/19,12:16,4,105,,,,,,,,,,,,,17:05,06:55,07:09,,,,,,,,,,,,
39,-77,01/13/19,02/19/19,15:00,29,147,,,,,,,,,,,,,19:40,09:30,09:44,,,,,,,,,,,,
